id,Response
381110,0.00800189458428042
381111,0.786527755630999
381112,0.7566141155981396
381113,0.04406620798754076
381114,0.002362440454863766
381115,0.003081921874386619
381116,0.004623771287454071
381117,0.003100569336931369
381118,0.71633999249908
381119,0.010127387721828312
381120,0.011690222606294
381121,0.6234539826411651
381122,0.002686084202598575
381123,0.7651947008648768
381124,0.6644449392161192
381125,0.006090757076352561
381126,0.6425692351344717
381127,0.724360494621237
381128,0.0031929561727238793
381129,0.0038579203467137293
381130,0.0031474666415252307
381131,0.0032053365899431113
381132,0.3019808113068832
381133,0.7278549805257213
381134,0.7174288576530021
381135,0.0031478994099360834
381136,0.0026415229664353856
381137,0.008438978479195265
381138,0.005943728278488452
381139,0.0029207433493217082
381140,0.503386100056751
381141,0.002240821520848441
381142,0.0021446168785744504
381143,0.003255887619693988
381144,0.482514122703154
381145,0.7840787349928575
381146,0.0031286330156393865
381147,0.35228473728358434
381148,0.0039044725191987656
381149,0.004462801248675419
381150,0.7519150992995858
381151,0.7647106555299137
381152,0.00713326492692074
381153,0.7496138154857303
381154,0.7880978297766219
381155,0.8173013000712194
381156,0.0032874114848481383
381157,0.27095753700573766
381158,0.7262959881739482
381159,0.6027243864154976
381160,0.682419306817509
381161,0.028615329863162748
381162,0.003357037217964962
381163,0.7581266276139199
381164,0.004217816749534384
381165,0.5619852938006374
381166,0.576330967548923
381167,0.0029025807260405568
381168,0.0034729136765851527
381169,0.2214615333971514
381170,0.005511171343449954
381171,0.0031456210569729376
381172,0.7595035092376148
381173,0.5026667449353236
381174,0.0032101557087316182
381175,0.0031777257859703246
381176,0.004354775397713838
381177,0.702506458101219
381178,0.5767614802604046
381179,0.004025109265347691
381180,0.14755564770783564
381181,0.00328353956038544
381182,0.7323861936999052
381183,0.003486252475054711
381184,0.02268240344098173
381185,0.003442208848771532
381186,0.8218153107754759
381187,0.8448852020140272
381188,0.6460313649443246
381189,0.338831585090856
381190,0.005110833202555975
381191,0.6710918412858153
381192,0.38255274418695917
381193,0.0097956902102028
381194,0.632679535794392
381195,0.38250848615359195
381196,0.0028292869136383333
381197,0.26659317567905005
381198,0.8062004458118913
381199,0.8344257731808797
381200,0.003972062831566263
381201,0.007378504534702796
381202,0.7680239928330505
381203,0.8728581965480845
381204,0.5249340570151053
381205,0.003653451207127404
381206,0.42105194162640247
381207,0.0027749073980195276
381208,0.1833231732869006
381209,0.002643491285413323
381210,0.6406817911798423
381211,0.0019241305726309529
381212,0.7847885991892898
381213,0.7092838866941471
381214,0.6695908313194661
381215,0.45234627079073747
381216,0.5212199181698847
381217,0.007819607027534547
381218,0.8075992767643316
381219,0.4785327904623955
381220,0.0181535105621915
381221,0.6689997870034549
381222,0.002538763693196739
381223,0.004717803976084954
381224,0.7155370419910109
381225,0.7901454920125578
381226,0.774480823579311
381227,0.7397722977596531
381228,0.2125844805733026
381229,0.6829351331022319
381230,0.003025537571436009
381231,0.003113649792502427
381232,0.7999160761603401
381233,0.004120202610712592
381234,0.763107454644007
381235,0.004280890433934555
381236,0.4413145912022948
381237,0.00402522021400652
381238,0.002767863973813303
381239,0.0029262319105146364
381240,0.003153543333319209
381241,0.7262079593821504
381242,0.0031911381810732823
381243,0.0053880802323916935
381244,0.4164353557777575
381245,0.0030602642166887976
381246,0.7344638064827036
381247,0.7835805787136421
381248,0.0033048753040851573
381249,0.5208892261459794
381250,0.0033220760522170807
381251,0.010908692090413608
381252,0.0037544086488676466
381253,0.0039756149929785324
381254,0.0039877706375896676
381255,0.7325193327374825
381256,0.7946985387782003
381257,0.0030238700429250937
381258,0.03367854122452622
